quartet_id,ecovillage_name,latitude,longitude,population_documentary,founding_year,koppen_group_workbook,e8_not_urban_at_founding,e10_no_exogenous_shocks,website,existing_control_lat,existing_control_lon
1,Soheili Village_Hara,26.790237,55.771104,,2018,B,True,TRUE (not GEE-checked; researcher-verified),,26.745194,55.934976
2,Ecovillage Bhrugu Aranya,49.610737,19.816232,,1996,D,True,TRUE (not GEE-checked; researcher-verified),,49.407189,19.827935
3,Lost Valley Education Center,43.891293,-122.825738,,1994,C,True,TRUE (not GEE-checked; researcher-verified),https://www.lostvalley.org/,43.82325,-123.131455
4,Dream village biohub,8.202246,-0.125017,,2016,A,True,TRUE (not GEE-checked; researcher-verified),https://new.dreamvillageghana.org/,8.038907,0.231801
5,Kuthumba Ecovillage,-33.978198,23.493313,,1993,C,True,TRUE (not GEE-checked; researcher-verified),https://www.kuthumba.co.za/,-34.02803,23.170619
6,Ssamba Foundation – Uganda Volunteer Program,0.513729,32.732357,,2006,A,True,TRUE (not GEE-checked; researcher-verified),https://ssamba.org/,0.583064,32.732703
7,SEKEM,30.420438,31.635801,,1977,B,True,TRUE (not GEE-checked; researcher-verified),https://sekem.com/,30.508677,31.510029
8,Kufunda Village,-17.976451,31.156586,,2004,C,True,TRUE (not GEE-checked; researcher-verified),www.kufunda.org,-18.036591,31.203081
9,The Unity Eco-Village,28.224812,83.879931,,2016,C,True,TRUE (not GEE-checked; researcher-verified),https://www.unityecovillage.com.np/,28.213274,84.075498
10,Cabiokid Foundation,15.229279,120.848381,,2001,A,True,TRUE (not GEE-checked; researcher-verified),https://cabiokid.wordpress.com/?fbclid=IwY2xjawUAIC1wZG9mBWV4dG4DYWVtAjEwAGJyaWQRMUZrRjFqeHVjT01OOEd6emdzcnRjBmFwcF9pZBAyMjIwMzkxNzg4MjAwODkyAAEeHguK33GP3ukp7Z8is1_81twuLn6weuFRNec6lk9S5zuzPt5YIHUt8hKM4RQ_aem_Hmagvqsl2GWOqK1TaMUMpg,15.2082,120.913474
11,Konohana Family,35.255504,138.567401,,1994,C,True,TRUE (not GEE-checked; researcher-verified),https://konohana-family.org/,35.211726,138.547131
12,Southern Life Community,26.203635,119.19017,,2015,C,True,TRUE (not GEE-checked; researcher-verified),http://cscing.com/,26.544457,119.432939
13,Manav Chetna Vikas Kendra (MCVK),22.625327,76.03297,,2007,A,True,TRUE (not GEE-checked; researcher-verified),https://mcvk.org/,22.643863,76.097458
14,Kibbutz Lotan,29.988996,35.086617,,1993,B,True,TRUE (not GEE-checked; researcher-verified),https://kibbutzlotan.com/,30.082668,35.13079
15,Biosphere Foundation,-8.16064,114.585539,15,1992,A,True,TRUE (not GEE-checked; researcher-verified),https://biospherefoundation.org/,-8.345773,114.253752
16,TI EcoVillage,12.833221,77.498425,55,1995,A,True,TRUE (not GEE-checked; researcher-verified),https://medium.com/@genoa.ecovillage/celebrating-the-gifts-of-ecovillage-design-education-ede-and-culture-of-regeneration-fbd2f1ac60e2,12.746921,77.412924
17,Govardhan Ecovillage,19.655445,72.967781,350,2003,A,True,TRUE (not GEE-checked; researcher-verified),https://www.ecovillage.org.in/,19.70108,72.893382
18,Kibbutz Gezer,31.876067,34.920482,300,1983,C,True,TRUE (not GEE-checked; researcher-verified),https://gezerolives.com/,31.831506,34.756642
19,Taman Petanu Eco Neighborhood,-8.54869,115.290196,50,2009,A,True,TRUE (not GEE-checked; researcher-verified),https://www.tamanpetanu.com/,-8.491055,115.388811
20,Sadhana Forest India,11.980512,79.777322,20,2003,A,True,TRUE (not GEE-checked; researcher-verified),https://sadhanaforest.org/,12.082296,79.706088
21,Better In Belize Eco-Community,16.995635,-89.046671,25,2009,A,True,TRUE (not GEE-checked; researcher-verified),https://betterinbelize.com/,17.079554,-89.016382
22,Rancho Mastatal,9.673092,-84.373902,22,2000,A,True,TRUE (not GEE-checked; researcher-verified),https://ranchomastatal.com/,9.655272,-84.451962
23,Sat Yoga Ashram &amp; Wisdom School,9.409167,-83.831672,25,2008,A,True,TRUE (not GEE-checked; researcher-verified),https://www.satyoga.org/,9.784185,-83.845379
24,VerdEnergia Pacifica,9.736122,-84.463414,10,2006,A,True,TRUE (not GEE-checked; researcher-verified),https://www.verdenergiapacifica.com/,10.052932,-84.462822
25,Gaia Terra,45.893946,13.061545,15,2017,C,True,TRUE (not GEE-checked; researcher-verified),https://www.progettogaiaterra.com/,45.846532,12.965043
26,Cambium · Leben in Gemeinschaft,46.93244,16.020261,70,2017,D,True,TRUE (not GEE-checked; researcher-verified),https://www.cambium.at/,46.891045,16.095489
27,Boekel Ecovillage,51.59507,5.68108,61,2017,C,True,TRUE (not GEE-checked; researcher-verified),https://www.ecodorpboekel.nl/,51.849542,5.56591
28,Co-housing project HASENDORF (= bunny,48.300822,15.829862,36,2016,D,True,TRUE (not GEE-checked; researcher-verified),https://wohnprojekt-hasendorf.at/,48.265406,15.944758
29,La Bolina,36.92968,-3.583287,10,2016,C,True,TRUE (not GEE-checked; researcher-verified),https://labolina.org/,36.990087,-3.590452
30,EcoVillage de Pourgues,43.177351,1.435599,25,2017,C,True,TRUE (not GEE-checked; researcher-verified),https://www.ecovillagedepourgues.coop/,43.24496,1.288749
31,Oasis du coq à l'Âme,45.88003,0.134812,30,2016,C,True,TRUE (not GEE-checked; researcher-verified),https://oasis-ducoqalame.fr/,45.881669,-0.105381
32,meltemi,38.004674,24.021794,184,1946,C,True,TRUE (not GEE-checked; researcher-verified),,38.202777,23.96653
33,ECOlonie – Centre Ecologique International,48.050363,6.105263,10,1989,C,True,TRUE (not GEE-checked; researcher-verified),https://www.ecolonie.eu/,47.921663,6.097229
34,Matavenero y Poibueno,42.537166,-6.372006,70,1989,C,True,TRUE (not GEE-checked; researcher-verified),https://matavenero.net/,42.582011,-6.312672
35,Communauté de l’Arche de Saint-Antoine,45.176013,5.217054,50,1987,C,True,TRUE (not GEE-checked; researcher-verified),https://www.arche-sta.com/,45.121219,5.093767
36,Tamera,37.720593,-8.518849,170,1995,C,True,TRUE (not GEE-checked; researcher-verified),https://www.tamera.org/,37.81318,-8.497341
37,Cheiry,46.751193,6.836893,60,2014,D,True,TRUE (not GEE-checked; researcher-verified),https://ecopol.net/,46.760402,6.748892
38,Hallingelille Ecovillage,55.494351,11.819877,52,2004,D,True,TRUE (not GEE-checked; researcher-verified),https://www.hallingelille.dk/,55.329647,11.882766
39,Munksøgårds,55.657897,12.132336,225,1998,D,True,TRUE (not GEE-checked; researcher-verified),https://www.munksoegaard.dk/,55.682575,11.892698
40,Lebensgarten Steyerberg,52.585216,9.020483,60,1985,C,True,TRUE (not GEE-checked; researcher-verified),https://www.lebensgarten.de/,52.547651,9.209823
41,Braziers Park,51.554688,-1.083638,20,2000,C,True,TRUE (not GEE-checked; researcher-verified),https://web.braziers.org.uk/,51.563265,-1.461936
42,Sólheimar Iceland,64.065725,-20.644837,120,1930,C,True,TRUE (not GEE-checked; researcher-verified),https://www.solheimar.is/,64.117357,-20.498838
43,Sieben Linden Ecovillage,52.689416,11.143641,140,1997,C,True,TRUE (not GEE-checked; researcher-verified),https://siebenlinden.org/,52.719774,11.372092
44,Schloss Glarisegg,47.654734,8.956555,,2011,D,True,TRUE (not GEE-checked; researcher-verified),https://seminare-glarisegg.ch//https://schloss-glarisegg.ch/,47.262049,8.967357
45,Villaggio Verde,45.650872,8.413166,,1982,C,True,TRUE (not GEE-checked; researcher-verified),https://www.villaggioverde.com//https://www.villaggioverde.org/,45.802775,8.429808
46,hagaby,59.148556,15.116483,,1995,D,True,TRUE (not GEE-checked; researcher-verified),,59.218215,14.899258
47,La CittÃ della Luce,43.662751,13.123505,,2006,C,True,TRUE (not GEE-checked; researcher-verified),https://lacittadellaluce.org/,43.600483,13.270313
48,Sunseed Desert Technology,37.088377,-2.073451,,1987,B,True,TRUE (not GEE-checked; researcher-verified),https://www.sunseed.org.uk/,37.114694,-2.013009
49,ZEGG,52.157004,12.590874,,1991,D,True,TRUE (not GEE-checked; researcher-verified),https://www.zegg.de/,52.111895,12.748534
50,Green Commune Belica,41.401714,20.952099,,2007,C,True,TRUE (not GEE-checked; researcher-verified),,41.232557,21.089224
51,"The Park, Ecovillage Findhorn",57.653174,-3.593418,,1983,C,True,TRUE (not GEE-checked; researcher-verified),,57.700813,-3.395008
52,Holistic Center Manas,45.992388,14.658149,,2009,D,True,TRUE (not GEE-checked; researcher-verified),https://manas.si/,46.032604,14.716812
53,Hertha Levefællesskab/Hertha Living Community,56.181872,9.971224,,1996,D,True,TRUE (not GEE-checked; researcher-verified),https://www.hertha.dk/,56.180211,9.888343
54,Bowden House Community,50.417254,-3.688328,,2005,C,True,TRUE (not GEE-checked; researcher-verified),http://www.bowdenhouse.co.uk/,50.387177,-3.862117
55,Vlierhof,51.846842,6.081005,,2002,C,True,TRUE (not GEE-checked; researcher-verified),,51.683339,6.034345
56,Charlottendals Farm and EcoVillage,59.090864,17.532511,,1995,D,True,TRUE (not GEE-checked; researcher-verified),,58.927319,17.099631
57,LUMEN Ecovillage,45.035623,9.933535,,1995,C,True,TRUE (not GEE-checked; researcher-verified),,44.978394,10.079465
58,The Hollies Centre for Practical Sustainability,51.761673,-8.954811,,1999,C,True,TRUE (not GEE-checked; researcher-verified),,51.780873,-8.867639
59,Selba – Artosilla,42.425796,-0.262284,,1986,C,True,TRUE (not GEE-checked; researcher-verified),,42.578517,-0.113526
60,Ecoaldea Los Portales,37.784434,-5.9569,,1984,C,True,TRUE (not GEE-checked; researcher-verified),,38.084279,-6.078634
61,Herzfeld Sennrueti,47.376031,9.192655,,2009,D,True,TRUE (not GEE-checked; researcher-verified),,47.317686,9.050645
62,Lebenstraumgemeinschaft Jahnishausen,51.273941,13.28541,,2002,D,True,TRUE (not GEE-checked; researcher-verified),,51.33771,13.192147
63,Zonca Ecovillage Italy,46.057074,8.205941,,1995,D,True,TRUE (not GEE-checked; researcher-verified),,45.999547,8.58871
64,Suderbyn Permaculture Eco-village,57.573741,18.208672,,2008,D,True,TRUE (not GEE-checked; researcher-verified),,57.161113,18.333076
65,DNS The Necessary Teacher Training,56.25716,8.27804,,1980,D,True,TRUE (not GEE-checked; researcher-verified),,56.111988,8.422854
66,Bhakti Tirtha Dhama,49.809769,29.514843,,2008,D,True,TRUE (not GEE-checked; researcher-verified),,49.891615,29.3922
67,Ecovillage Torri Superiore,43.840361,7.551118,,1992,C,True,TRUE (not GEE-checked; researcher-verified),,43.828035,7.654786
68,Freedom Village Georgia,33.360134,-82.863336,,2015,C,True,TRUE (not GEE-checked; researcher-verified),,33.5366,-83.081106
69,Hearthstone Village,49.781734,-124.337462,,2019,C,True,TRUE (not GEE-checked; researcher-verified),,49.892165,-124.560029
70,Windekind Commons Vermont Cohousing,44.315808,-72.941782,,2018,D,True,TRUE (not GEE-checked; researcher-verified),,44.042115,-72.603479
71,HawaiiSPACE,19.408572,-154.927618,,1987,A,True,TRUE (not GEE-checked; researcher-verified),,19.744333,-155.106879
72,Greenbriar Community School,30.249293,-97.346087,,1983,C,True,TRUE (not GEE-checked; researcher-verified),,30.286531,-97.239925
73,White Hawk Ecovillage,42.362704,-76.493173,,2008,D,True,TRUE (not GEE-checked; researcher-verified),,42.618089,-76.724826
74,The Farm,35.479582,-87.328645,,1974,C,True,TRUE (not GEE-checked; researcher-verified),,35.323776,-87.303772
75,Camphill Village Minnesota,45.848562,-94.911001,,1980,D,True,TRUE (not GEE-checked; researcher-verified),,45.80039,-95.083921
76,eastwind community,36.558903,-92.308975,,1978,C,True,TRUE (not GEE-checked; researcher-verified),,36.39646,-91.983332
77,Cinderland Ecovillage,19.518199,-154.844215,,2000,A,True,TRUE (not GEE-checked; researcher-verified),,19.49392,-154.946304
78,Whole Village,43.860761,-80.106729,,2002,D,True,TRUE (not GEE-checked; researcher-verified),,43.792347,-80.322747
79,Synergia Ranch (HQ of Ecotechnics),35.491047,-106.095476,,1969,B,True,TRUE (not GEE-checked; researcher-verified),,35.395322,-105.946757
80,Dancing Rabbit Ecovillage,40.332966,-92.096463,,1997,D,True,TRUE (not GEE-checked; researcher-verified),,40.487284,-92.367534
81,Earthaven Ecovillage,35.519705,-82.202311,,1994,C,True,TRUE (not GEE-checked; researcher-verified),,35.479283,-82.348162
82,Living Well Community,35.73697,-79.681773,,2007,C,True,TRUE (not GEE-checked; researcher-verified),,35.794218,-79.548599
83,Sirius Community,42.419219,-72.425852,,1978,D,True,TRUE (not GEE-checked; researcher-verified),,42.423086,-72.104825
84,Hickory Nut Forest Eco-Community,35.47263,-82.339856,,2004,C,True,TRUE (not GEE-checked; researcher-verified),,35.451487,-82.287069
85,Villages at Crest Mountain,35.610457,-82.616044,,2004,C,True,TRUE (not GEE-checked; researcher-verified),,35.655129,-82.696187
86,IDEAL Society,49.354342,-115.296459,,1993,D,True,TRUE (not GEE-checked; researcher-verified),,49.416062,-115.423628
87,"Cite Ecologique (Qc, Canada)",45.855019,-71.639806,,1984,D,True,TRUE (not GEE-checked; researcher-verified),,45.903944,-71.646884
88,Cedar Moon,45.44079,-122.684757,,2004,C,True,TRUE (not GEE-checked; researcher-verified),,45.408333,-122.922265
89,Twin Oaks Community,37.932583,-77.992429,,1967,C,True,TRUE (not GEE-checked; researcher-verified),,37.775639,-77.899928
90,Cobb Hill Cohousing,43.548718,-72.425999,,1997,D,True,TRUE (not GEE-checked; researcher-verified),,43.534244,-72.35633
91,Avalon Organic Gardens &amp; EcoVillage,31.575956,-111.041119,,1994,B,True,TRUE (not GEE-checked; researcher-verified),,31.577358,-111.330663
92,Ixixtlan,18.870572,-98.398332,,2006,C,True,TRUE (not GEE-checked; researcher-verified),,18.891371,-98.572339
93,Abundance Ecovillage,41.042021,-91.959907,,2000,D,True,TRUE (not GEE-checked; researcher-verified),,40.957398,-92.051316
