quartet_id,latitude,longitude,d_value_workbook,star_rating_workbook,all_tier1_pass_workbook,kept_despite_failing_tier1,selection_source
1,26.745194,55.934976,0.053,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
2,49.407189,19.827935,0.423,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
3,43.82325,-123.131455,0.175,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
4,8.038907,0.231801,0.091,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
5,-34.02803,23.170619,0.099,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
6,0.583064,32.732703,0.11,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
7,30.508677,31.510029,0.099,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
8,-18.036591,31.203081,0.076,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
9,28.213274,84.075498,0.035,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
10,15.2082,120.913474,0.025,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
11,35.211726,138.547131,0.364,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
12,26.544457,119.432939,0.127,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
13,22.643863,76.097458,0.024,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
14,30.082668,35.13079,0.11,★★★ (3-star),True,False,"Newly generated candidate, promoted after visual inspection"
15,-8.345773,114.253752,0.264,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
16,12.746921,77.412924,0.121,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
17,19.70108,72.893382,0.114,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
18,31.831506,34.756642,0.037,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
19,-8.491055,115.388811,0.5,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
20,12.082296,79.706088,0.035,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
21,17.079554,-89.016382,0.61,Failed (kept for transparency),False,True,Original selection (researcher-confirmed or algorithmically matched)
22,9.655272,-84.451962,0.225,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
23,9.784185,-83.845379,0.328,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
24,10.052932,-84.462822,0.533,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
25,45.846532,12.965043,0.186,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
26,46.891045,16.095489,0.201,★★★ (3-star),True,False,"Newly generated candidate, promoted after visual inspection"
27,51.849542,5.56591,0.144,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
28,48.265406,15.944758,0.089,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
29,36.990087,-3.590452,0.392,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
30,43.24496,1.288749,0.061,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
31,45.881669,-0.105381,0.288,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
32,38.202777,23.96653,0.252,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
33,47.921663,6.097229,0.465,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
34,42.582011,-6.312672,0.543,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
35,45.121219,5.093767,0.089,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
36,37.81318,-8.497341,0.285,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
37,46.760402,6.748892,0.167,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
38,55.329647,11.882766,0.03,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
39,55.682575,11.892698,0.042,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
40,52.547651,9.209823,0.116,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
41,51.563265,-1.461936,0.098,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
42,64.117357,-20.498838,0.017,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
43,52.719774,11.372092,0.228,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
44,47.262049,8.967357,0.298,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
45,45.802775,8.429808,0.394,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
46,59.218215,14.899258,0.046,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
47,43.600483,13.270313,0.047,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
48,37.114694,-2.013009,0.144,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
49,52.111895,12.748534,0.325,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
50,41.232557,21.089224,0.137,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
51,57.700813,-3.395008,0.07,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
52,46.032604,14.716812,0.395,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
53,56.180211,9.888343,0.047,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
54,50.387177,-3.862117,0.096,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
55,51.683339,6.034345,0.042,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
56,58.927319,17.099631,0.209,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
57,44.978394,10.079465,0.03,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
58,51.780873,-8.867639,0.06,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
59,42.578517,-0.113526,0.069,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
60,38.084279,-6.078634,0.316,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
61,47.317686,9.050645,0.503,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
62,51.33771,13.192147,0.217,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
63,45.999547,8.58871,0.228,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
64,57.161113,18.333076,0.049,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
65,56.111988,8.422854,0.081,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
66,49.891615,29.3922,0.033,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
67,43.828035,7.654786,0.317,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
68,33.5366,-83.081106,0.207,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
69,49.892165,-124.560029,0.51,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
70,44.042115,-72.603479,0.166,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
71,19.744333,-155.106879,0.239,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
72,30.286531,-97.239925,0.469,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
73,42.618089,-76.724826,0.113,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
74,35.323776,-87.303772,0.473,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
75,45.80039,-95.083921,0.075,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
76,36.39646,-91.983332,0.771,★★ (2-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
77,19.49392,-154.946304,0.112,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
78,43.792347,-80.322747,0.125,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
79,35.395322,-105.946757,0.037,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
80,40.487284,-92.367534,0.092,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
81,35.479283,-82.348162,0.295,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
82,35.794218,-79.548599,0.319,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
83,42.423086,-72.104825,0.413,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
84,35.451487,-82.287069,0.271,★★★ (3-star),True,False,Original selection (researcher-confirmed or algorithmically matched)
