Ecovillage_Name,Latitude,Longitude,Country,URL_1,URL_2,URL_3,URL_4,URL_5,URL_6,URL_7,URL_8,URL_9,URL_10
Soheili Village_Hara,26.790237,55.771104,,,,,,,,,,,
Ecovillage Bhrugu Aranya,49.610737,19.816232,,,,,,,,,,,
Lost Valley Education Center,43.891293,-122.825738,,,,,,,,,,,
Dream village biohub,8.076801,0.194328,,,,,,,,,,,
Kuthumba Ecovillage,-33.978198,23.493313,,,,,,,,,,,
Ssamba Foundation – Uganda Volunteer Program,0.513729,32.732357,,,,,,,,,,,
SEKEM,30.420438,31.635801,,,,,,,,,,,
Kufunda Village,-17.976451,31.156586,,,,,,,,,,,
The Unity Eco-Village,28.224812,83.879931,,,,,,,,,,,
Cabiokid Foundation,15.229279,120.848381,,,,,,,,,,,
Konohana Family,35.255504,138.567401,,,,,,,,,,,
Southern Life Community,26.203635,119.19017,,,,,,,,,,,
Manav Chetna Vikas Kendra (MCVK),22.625327,76.03297,,,,,,,,,,,
Kibbutz Lotan,29.988996,35.086617,,,,,,,,,,,
Biosphere Foundation,-8.16064,114.585539,,,,,,,,,,,
TI EcoVillage,12.833221,77.498425,,,,,,,,,,,
Govardhan Ecovillage,19.655445,72.967781,,,,,,,,,,,
Kibbutz Gezer,31.876067,34.920482,,,,,,,,,,,
Taman Petanu Eco Neighborhood,-8.54869,115.290196,,,,,,,,,,,
Sadhana Forest India,11.980512,79.777322,,,,,,,,,,,
Better In Belize Eco-Community,16.992082,-89.047539,,,,,,,,,,,
Rancho Mastatal,9.673092,-84.373902,,,,,,,,,,,
Sat Yoga Ashram &amp; Wisdom School,9.409167,-83.831672,,,,,,,,,,,
VerdEnergia Pacifica,9.736122,-84.463414,,,,,,,,,,,
Gaia Terra,45.893946,13.061545,,,,,,,,,,,
Cambium · Leben in Gemeinschaft,46.93244,16.020261,,,,,,,,,,,
Boekel Ecovillage,51.59507,5.68108,,,,,,,,,,,
Co-housing project HASENDORF (= bunny,48.300822,15.829862,,,,,,,,,,,
La Bolina,36.929365,-3.582513,,,,,,,,,,,
EcoVillage de Pourgues,43.177351,1.435599,,,,,,,,,,,
Oasis du Coq Ã  lâ€™Ã‚me,45.88003,0.134812,,,,,,,,,,,
meltemi,38.004674,24.021794,,,,,,,,,,,
ECOlonie â€&quot; Centre Ecologique International,48.050363,6.105263,,,,,,,,,,,
Matavenero y Poibueno,42.537166,-6.372006,,,,,,,,,,,
CommunautÃ© de lâ€™Arche de Saint-Antoine,45.17499,5.21669,,,,,,,,,,,
Tamera,37.720593,-8.518849,,,,,,,,,,,
Cheiry,46.751193,6.836893,,,,,,,,,,,
Hallingelille Ecovillage,55.494351,11.819877,,,,,,,,,,,
Munksøgårds,55.657897,12.132336,,,,,,,,,,,
Lebensgarten Steyerberg,52.585216,9.023218,,,,,,,,,,,
Braziers Park,51.55445,-1.084837,,,,,,,,,,,
SÃ³lheimar Iceland,64.066438,-20.64183,,,,,,,,,,,
Sieben Linden Ecovillage,52.689416,11.143641,,,,,,,,,,,
Schloss Glarisegg,47.654734,8.956555,,,,,,,,,,,
Villaggio Verde,45.650872,8.413166,,,,,,,,,,,
hagaby,59.148556,15.116483,,,,,,,,,,,
La CittÃ  della Luce,43.662751,13.123505,,,,,,,,,,,
Sunseed Desert Technology,37.088377,-2.073451,,,,,,,,,,,
ZEGG,52.157004,12.590874,,,,,,,,,,,
Green Commune Belica,41.401714,20.952099,,,,,,,,,,,
"The Park, Ecovillage Findhorn",57.653174,-3.593418,,,,,,,,,,,
Holistic Center Manas,45.992388,14.658149,,,,,,,,,,,
Hertha LevefÃ¦llesskab/Hertha Living,56.181872,9.971224,,,,,,,,,,,
Bowden House Community,50.417254,-3.688328,,,,,,,,,,,
Vlierhof,51.846842,6.081005,,,,,,,,,,,
Charlottendals Farm and EcoVillage,59.090864,17.532511,,,,,,,,,,,
