community_id,name,latitude,longitude
IC001,Soheili Village_Hara,26.790237,55.771104
IC002,Ecovillage Bhrugu Aranya,49.610737,19.816232
IC003,Lost Valley Education Center,43.891293,-122.825738
IC004,Dream village biohub,8.076801,0.194328
IC005,Kuthumba Ecovillage,-33.978198,23.493313
IC006,Ssamba Foundation – Uganda Volunteer Program,0.513729,32.732357
IC007,SEKEM,30.420438,31.635801
IC008,Kufunda Village,-17.976451,31.156586
IC009,The Unity Eco-Village,28.224812,83.879931
IC010,Cabiokid Foundation,15.229279,120.848381
IC011,Konohana Family,35.255504,138.567401
IC012,Southern Life Community,26.203635,119.19017
IC013,Manav Chetna Vikas Kendra (MCVK),22.625327,76.03297
IC014,Kibbutz Lotan,29.988996,35.086617
IC015,Biosphere Foundation,-8.16064,114.585539
IC016,TI EcoVillage,12.833221,77.498425
IC017,Govardhan Ecovillage,19.655445,72.967781
IC018,Kibbutz Gezer,31.876067,34.920482
IC019,Taman Petanu Eco Neighborhood,-8.54869,115.290196
IC020,Sadhana Forest India,11.980512,79.777322
IC021,Better In Belize Eco-Community,16.992082,-89.047539
IC022,Rancho Mastatal,9.673092,-84.373902
IC023,Sat Yoga Ashram & Wisdom School,9.409167,-83.831672
IC024,VerdEnergia Pacifica,9.736122,-84.463414
IC025,Gaia Terra,45.893946,13.061545
IC026,Cambium · Leben in Gemeinschaft,46.93244,16.020261
IC027,Boekel Ecovillage,51.59507,5.68108
IC028,Co-housing project HASENDORF (= bunny,48.300822,15.829862
IC029,La Bolina,36.929365,-3.582513
IC030,EcoVillage de Pourgues,43.177351,1.435599
IC031,Oasis du Coq à l'Âme,45.88003,0.134812
IC032,meltemi,38.004674,24.021794
IC033,ECOlonie – Centre Ecologique International,48.050363,6.105263
IC034,Matavenero y Poibueno,42.537166,-6.372006
IC035,Communauté de l'Arche de Saint-Antoine,45.17499,5.21669
IC036,Tamera,37.720593,-8.518849
IC037,Cheiry,46.751193,6.836893
IC038,Hallingelille Ecovillage,55.494351,11.819877
IC039,Munksøgårds,55.657897,12.132336
IC040,Lebensgarten Steyerberg,52.585216,9.023218
IC041,Braziers Park,51.55445,-1.084837
IC042,Sólheimar Iceland,64.066438,-20.64183
IC043,Sieben Linden Ecovillage,52.689416,11.143641
IC044,Schloss Glarisegg,47.654734,8.956555
IC045,Villaggio Verde,45.650872,8.413166
IC046,hagaby,59.148556,15.116483
IC047,La Città della Luce,43.662751,13.123505
IC048,Sunseed Desert Technology,37.088377,-2.073451
IC049,ZEGG,52.157004,12.590874
IC050,Green Commune Belica,41.401714,20.952099
IC051,"The Park, Ecovillage Findhorn",57.653174,-3.593418
IC052,Holistic Center Manas,45.992388,14.658149
IC053,Hertha Levefællesskab/Hertha Living,56.181872,9.971224
IC054,Bowden House Community,50.417254,-3.688328
IC055,Vlierhof,51.846842,6.081005
IC056,Charlottendals Farm and EcoVillage,59.090864,17.532511
IC057,LUMEN Ecovillage,45.035623,9.933535
IC058,The Hollies Centre for Practical Sustainability,51.761673,-8.954811
IC059,Selba – Artosilla,42.425796,-0.262284
IC060,Ecoaldea Los Portales,37.784434,-5.9569
IC061,Herzfeld Sennrueti,47.376031,9.192655
IC062,Lebenstraumgemeinschaft Jahnishausen,51.273941,13.28541
IC063,Zonca Ecovillage Italy,46.057074,8.205941
IC064,Suderbyn Permaculture Eco-village,57.573741,18.208672
IC065,DNS The Necessary Teacher Training,56.25716,8.27804
IC066,Bhakti Tirtha Dhama,49.809769,29.514843
IC067,Ecovillage Torri Superiore,43.840361,7.551118
IC068,Freedom Village Georgia,33.360134,-82.863336
IC069,Hearthstone Village,49.781734,-124.337462
IC070,Windekind Commons Vermont Cohousing,44.315808,-72.941782
IC071,HawaiiSPACE,19.408572,-154.927618
IC072,Greenbriar Community School,30.249293,-97.346087
IC073,White Hawk Ecovillage,42.362704,-76.493173
IC074,The Farm,35.479582,-87.328645
IC075,Camphill Village Minnesota,45.848562,-94.911001
IC076,eastwind community,36.558903,-92.308975
IC077,Cinderland Ecovillage,19.518199,-154.844215
IC078,Whole Village,43.860761,-80.106729
IC079,Synergia Ranch (HQ of Ecotechnics),35.491047,-106.095476
IC080,Dancing Rabbit Ecovillage,40.332966,-92.096463
IC081,Earthaven Ecovillage,35.519705,-82.202311
IC082,Living Well Community,35.73697,-79.681773
IC083,Sirius Community,42.419219,-72.425852
IC084,Hickory Nut Forest Eco-Community,35.47263,-82.339856
IC085,Villages at Crest Mountain,35.610457,-82.616044
IC086,IDEAL Society,49.354342,-115.296459
IC087,"Cite Ecologique (Qc, Canada)",45.855019,-71.639806
IC088,Cedar Moon,45.44079,-122.684757
IC089,Twin Oaks Community,37.932583,-77.992429
IC090,Cobb Hill Cohousing,43.548718,-72.425999
IC091,Avalon Organic Gardens & EcoVillage,31.575956,-111.041119
IC092,Ixixtlan,18.870572,-98.398332
IC093,Abundance Ecovillage,41.042021,-91.959907
IC094,Stowe Farm Community,42.702264,-72.775739
IC095,Ecovillage at Ithaca,42.441648,-76.542637
IC096,The Garden,36.5982,-85.931557
IC097,Gita Nagari Eco-Farm and Sanctuary,40.490405,-77.461402
IC098,The Camphill School,40.136841,-75.707889
IC099,Hundredfold Farm,39.889294,-77.376676
IC100,Sawyer Hill Ecovillage,42.372911,-71.626188
IC101,Moora Moora Co-operative,-37.720704,145.569887
IC102,The Ecovillage at Currumbin,-28.176828,153.432741
IC103,Crystal Waters,-26.78553,152.718245
IC104,Atamai Village,-41.141905,172.956729
IC105,Narara Ecovillage,-33.392643,151.328289
IC106,Tui Community,-40.811793,172.957757
IC107,Wilderland,-36.886277,175.674232
IC108,Bellbunya Sustainable Community,-26.491096,152.853409
IC109,Aldinga Arts Ecovillage,-35.265685,138.479025
IC110,Gulpa Creek Community,-35.722683,144.893102
IC111,Eco Aldea de los glaciares sagrados – Maras,-13.339833,-72.144032
IC112,Terra Luminous,-24.02194,-47.068398
IC113,Ecovilla GAIA – Argentina,-34.947362,-59.337962
IC114,El Manzano,-37.15607,-72.286233
IC115,Agrovilla El Prado,4.787184,-75.643927
IC116,Aldeafeliz Ecovillage,4.987656,-74.279152
IC117,Peoples Coast Ecovillage Network,13.089183,-16.759665
IC118,Tlholego Ecovillage and Learning Centre,-25.684519,27.099662
IC119,Green Village Bali,-8.574186,115.214248
IC120,Assalam eco-village by the Indian Ocean,-6.448134,39.466153
IC121,The Sustainability Institute and Lynedoch,-33.982689,18.768245
IC122,Chisapani Ecovillage Tarebhir,28.20735,83.906688
IC123,"Ruma Eco Village , Mayagdi Nepal",28.412866,83.384985
IC124,Suwan organic farmstay,17.671088,102.839151
IC125,Daruma Ecovillage,13.236989,100.952719
IC126,Protopia Community,10.593709,-84.841019
IC127,Eco Aldeia do Vale – Instituto Permacultura,38.880436,-9.307763
IC128,Spoluzemě Vrábsko,49.46448,14.103488
IC129,Friskoven,55.095061,14.944695
IC130,Gemeinschaft Sulzbrunn,47.670555,10.384863
IC131,Eotopia,46.709743,3.681777
IC132,Comunità rigenerative,45.994696,12.999064
IC133,Thabarwa Nature Centre EU,44.703496,8.851423
IC134,Gut Alaune,51.526603,11.919516
IC135,Ängsbacka,59.601268,13.700271
IC136,New Mayapur,47.084388,1.405437
IC137,Los Guindales,36.566965,-5.278144
IC138,"Ferme de la Chaux, Goshen",47.218402,4.671591
IC139,Aletheia Springs,38.394538,-122.550868
IC140,Entelechy,48.805441,-123.489671
IC141,Pura Vida Village at Tico Time River Resort,36.98919,-107.87048
IC142,ReTribe at NorthernShire,44.506074,-72.86514
IC143,PORTAL XIBALBA: ECO-VILLAGE IN THE JUNGLE OF PLAYA DEL CARMEN,20.699931,-87.06081
IC144,Emerald Earth Sanctuary,39.025389,-123.292036
IC145,Maleny Eco Village,-26.758032,152.84838
IC146,Billen Cliff,-28.612343,153.133824
IC147,Arca Verde,-29.465191,-50.500893
IC148,Villa Productiva Agroecológica JANUS,-38.74731,-68.11762
IC149,Wisdom Forest,-1.055126,-77.895996
IC150,Bambako Eco Farm / YIRABAH Gambia,13.405483,-15.767966
IC151,Honeyville Farm,-33.931231,24.764866
IC152,Yasna Sloboda,54.756701,37.875068
IC153,Ecovillage Kovcheg,55.061992,36.128649
IC154,Yeniköy,39.933706,26.165414
IC155,Serene Eco Village,18.315759,73.624871
IC156,Tasman Ecovillage,-43.093448,147.742258
IC157,Patanga,-30.438118,152.694861
IC158,Ecolieu Argoumbat,43.910315,0.98036
IC159,Arterra Bizimodu,42.715388,-1.325865
IC160,Keuruu Ecovillage,62.306323,24.622492
IC161,Zeleni Kruchi,49.425633,30.869992
IC162,Damanhur,45.431012,7.757471
IC163,Soheili Village,26.755264,55.787829
IC164,Land van Aine,52.867512,7.088633
IC165,Bali Ecovillage,-8.268028,115.249245
IC166,Pun Pun,19.214646,99.012448
IC167,Neot Semadar,30.048671,35.026633
IC168,Witchcliffe Ecovillage,-34.024552,115.104041
IC169,Almost Heaven Farms,26.88519,88.043108
IC170,Baireni Ecovillage,26.981135,86.533428
IC171,Blue Star Tapovan Trinidad,10.349735,-61.452866
IC172,Chambalabamba,-4.274831,-79.203292
IC173,Chanchos de Monte,10.793327,-84.393727
IC174,Ecovila Piracanga,-14.214697,-38.995034
IC175,Ecovila Raiz do Anuhmas,-22.791348,-47.05044
IC176,Ecovila Santa Margarida,-22.789479,-47.069783
IC177,Ecovillage Pentierebougou,13.086727,-7.940589
IC178,Jyagdi EcoVillage Chapakot Syangja Nepal,27.93584,83.878329
IC179,Habiba Community,29.010284,34.670396
IC180,Fruit Haven EcoVillage Ecuador,-3.527531,-78.52983
IC181,Valle de Sensaciones,36.95727,-3.136732
IC182,Las Cañadas Bosque de Niebla,19.176892,-96.972307
IC183,Valdepielagos,40.760722,-3.465693
IC184,Earthship Greater World Community,36.494782,-105.752179
IC185,Wind Spirit Community,33.14686,-110.835378
IC186,TerraSante Village,32.111705,-111.254893
IC187,Catfarm,43.498233,3.657874
IC188,Grishino Ecovillage,61.087028,34.0813
IC189,Hurdal Ecovillage,60.411096,11.052614
IC190,Nackunga Community,59.024944,17.564475
IC191,Tuggelite Ecovillage,59.422998,13.438836
IC192,Ecotopia Romania — Stanciova,45.862744,21.575335
IC193,Schloss Tempelhof,49.126124,10.206793
IC194,Possibility Alliance,40.074724,-92.458811
IC195,Rodnoe (Rodnoye) Settlement,55.915364,40.553046
IC196,Cloughjordan Ecovillage,52.946515,-8.036953
IC197,O.U.R Ecovillage,48.640102,-123.610282
IC198,Lammas Ecovillage (Tir-y-Gafel),51.934066,-4.623775
IC199,Friland,56.280995,10.58589
IC200,Sadhana Forest Haiti,18.04636,-71.762129
IC201,Hockerton Housing Project,53.097341,-0.929501
IC202,Den Selvforsynende Landsby (Self-Sufficient Village),55.09841,10.426727
IC203,Cité Écologique (New Hampshire),44.935101,-71.47749
IC204,Brithdir Mawr,52.000928,-4.806572
IC205,Permatopia,55.301696,12.19072
IC206,Sadhana Forest Kenya,0.867336,36.765913
IC207,Ecodorp Bergen,52.651081,4.693376
IC208,Eco Truly Park,-11.636889,-77.217187
IC209,Khula Dhamma Community,-32.697527,28.19499
IC210,Umphakatsi Peace Ecovillage,-26.132179,30.97823
IC211,Green Canvas of Light,-33.982512,22.673458
IC212,Agatha Amani House,-0.735154,36.473129
